,Rating,Price,Processor,OS,Disk_Drive(SSD_GB),Brand,RAM_Type,RAM_GB,Inches
0,4.2,36990.0,Intel Core i3 Processor,  Windows 11  ,256,Lenovo,DDR4 ,8,15.6
1,4.2,39990.0,Intel Core i3 Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
2,4.3,32990.0,Intel Core i3 Processor,  Windows 11  ,512,ASUS,DDR4 ,8,15.6
3,4.4,49990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 10  ,512,HP,DDR4 ,8,15.6
4,4.4,49990.0,Intel Core i5 Processor,Windows 11  ,512,ASUS,DDR4 ,8,15.6
5,4.2,36990.0,Intel Core i3 Processor,  Windows 11  ,256,HP,DDR4 ,8,15.6
6,4.3,38990.0,Intel OptaneIntel Core i3 Processor,Windows 11  ,256,DELL,DDR4 ,8,15.6
7,4.1,39990.0,Intel Core i5 Processor,Windows 11  ,512,RedmiBook,DDR4 ,8,15.6
8,4.4,46990.0,Intel Core i3 Processor,  Windows 10  ,256,realme,DDR4 ,8,15.6
9,4.1,44990.0,AMD Ryzen 7 Quad Core Processor,  Windows 11  ,512,ASUS,DDR4 ,16,15.6
10,4.4,59990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,HP,DDR4 ,8,15.6
11,4.2,38705.0,AMD Ryzen 5 Quad Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
12,4.3,32990.0,Intel Core i3 Processor,  Windows 11  ,256,ASUS,DDR4 ,8,15.6
13,4.4,52990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,ASUS,DDR4 ,8,17.3
14,4.3,29990.0,Intel Core i3 Processor,  Windows 11  ,256,acer,DDR4 ,8,15.6
15,4.3,196990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR5 ,16,15.6
16,4.3,47990.0,Intel Core i5 Processor,  Windows 11  ,256,ASUS,DDR4 ,8,15.6
17,4.3,45990.0,Intel Core i5 Processor,  Windows 11  ,512,ASUS,DDR4 ,8,15.6
18,4.4,47990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,MSI,DDR4 ,8,15.6
19,4.6,85990.0,AMD Ryzen 7 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
20,4.7,88990.0,Apple M1 Processor,Mac OS  ,256,APPLE,DDR4 ,8,13.3
21,4.2,40990.0,Intel Core i3 Processor,  Windows 11  ,512,HP,DDR4 ,8,15.6
22,3.7,19490.0,Intel Celeron Dual Core Processor,DOS  ,256,Lenovo,LPDDR4 ,4,15.6
23,4.2,35590.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
24,4.3,65990.0,Intel Core i5 Processor,  Windows 11  ,512,HP,DDR4 ,8,15.6
25,4.1,39990.0,Intel Core i5 Processor,Windows 11  ,512,RedmiBook,DDR4 ,8,15.6
26,4.2,39990.0,Intel Core i3 Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
27,4.3,196990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR5 ,16,15.6
28,4.3,58990.0,Intel Core i5 Processor,  Windows 11  ,512,acer,DDR4 ,16,15.6
29,4.4,46990.0,Intel Core i3 Processor,  Windows 10  ,256,realme,DDR4 ,8,15.6
30,4.2,38705.0,AMD Ryzen 5 Quad Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
31,4.6,85990.0,AMD Ryzen 7 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
32,4.2,24990.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,256,acer,DDR4 ,8,15.6
33,4.4,47990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,acer,DDR4 ,8,15.6
34,4.4,73990.0,AMD Ryzen 7 Octa Core Processor,  Windows 11  ,512,ASUS,DDR4 ,8,17.3
35,4.2,53490.0,Intel Core i5 Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
36,4.2,35590.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
37,4.9,150990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
38,4.3,51990.0,Intel Core i5 Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
39,4.7,66990.0,Intel Core i5 Processor,  Windows 11  ,512,ASUS,DDR4 ,16,15.6
40,4.2,36990.0,Intel Core i3 Processor,  Windows 11  ,256,Lenovo,DDR4 ,8,15.6
41,4.3,194990.0,AMD Ryzen 9 Octa Core Processor,  Windows 11  ,1000,ASUS,DDR5 ,16,15.6
42,4.4,51990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,acer,DDR4 ,16,15.6
43,3.9,25990.0,AMD Athlon Dual Core Processor,  Windows 11  ,256,HP,DDR4 ,8,15.6
44,4.2,35990.0,AMD Ryzen 5 Quad Core Processor,  Windows 11  ,512,acer,DDR4 ,8,15.6
45,4.2,43990.0,Intel Core i5 Processor,  Windows 11  ,512,ASUS,DDR4 ,8,15.6
46,4.3,44990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
47,3.7,64490.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
48,4.4,40990.0,Intel Core i3 Processor,  Windows 11  ,256,ASUS,DDR4 ,8,15.6
49,4.4,38990.0,Intel Core i3 Processor,  Windows 11  ,512,ASUS,DDR4 ,8,15.6
50,4.2,36990.0,Intel Core i3 Processor,  Windows 11  ,256,Lenovo,DDR4 ,8,15.6
51,4.1,39990.0,Intel Core i5 Processor,Windows 11  ,512,RedmiBook,DDR4 ,8,15.6
52,4.2,58990.0,Intel Core i5 Processor,  Windows 11  ,512,HP,DDR4 ,8,15.6
53,4.4,59990.0,Intel Evo Core i5 ProcessorIntel Core i5 Processor,  Windows 10  ,512,realme,DDR4 ,8,15.6
54,4.4,47990.0,Intel Core i5 Processor,  Windows 10  ,512,acer,DDR4 ,8,15.6
55,4.2,37499.0,AMD Ryzen 3 Quad Core Processor,  Windows 11  ,512,HP,DDR4 ,8,15.6
56,4.3,196990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR5 ,16,15.6
57,4.2,38705.0,AMD Ryzen 5 Quad Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
58,4.1,94990.0,AMD Ryzen 9 Octa Core Processor,  Windows 10  ,1000,ASUS,DDR4 ,8,15.6
59,4.3,32990.0,Intel Core i3 Processor,  Windows 11  ,512,ASUS,DDR4 ,8,15.6
60,4.6,85990.0,AMD Ryzen 7 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
61,4.2,35590.0,AMD Ryzen 3 Dual Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
62,4.0,23990.0,Intel Celeron Dual Core Processor,  Windows 11  ,256,ASUS,DDR4 ,4,15.6
63,4.3,48990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,HP,DDR4 ,16,15.6
64,4.7,139990.0,Apple M2 Processor,Mac OS  ,512,APPLE,Unified Memory ,8,13.3
65,4.6,89990.0,AMD Ryzen 7 Octa Core Processor,  Windows 11  ,512,ASUS,DDR4 ,16,15.6
66,4.9,150990.0,AMD Ryzen 9 Octa Core Processor,Windows 11  ,1000,ASUS,DDR4 ,16,15.6
67,4.2,39990.0,Intel Core i3 Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
68,4.5,59990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,1000,ASUS,DDR4 ,8,15.6
69,4.6,70990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,DELL,DDR4 ,16,15.6
70,4.3,194990.0,AMD Ryzen 9 Octa Core Processor,  Windows 11  ,1000,ASUS,DDR5 ,16,15.6
71,4.3,44990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,Lenovo,DDR4 ,8,15.6
72,4.2,22990.0,Intel Celeron Quad Core Processor,  Windows 11  ,256,Infinix,LPDDR4X,8,15.6
73,4.3,46990.0,AMD Ryzen 5 Hexa Core Processor,  Windows 11  ,512,HP,DDR4 ,8,15.6
74,4.3,50990.0,Intel Core i5 Processor,Windows 10  ,256,ASUS,DDR4 ,8,15.6
75,4.2,28990.0,Intel Core i3 Processor,  Windows 11  ,256,Infinix,LPDDR4X,8,15.6
